"shark_ID","year","size_slow","size_fast","num_detections","num_receivers","n_rec_lagoon","n_inner_lagoon","n_outer_lagoon","n_rec_plat","n_rec_drop","n_rec_coast","min_date","max_date","n_tracking_days","tracking_period","binary_cat","binary_num","sex","sex_num","maturity_slow","mcp_area_100","mcp_area_95","mcp_area_90","mcp_area_80","mcp_area_75","mcp_area_70","mcp_area_60"
51,2014,220,226,5699,20,14,0,0,0,0,0,2014-01-01 08:16:10,2014-12-31 22:58:53,300,364.613,"resident",0,"f",1,"juvenile","11.2137757349572","2.26727461562562","1.91799785085266","0.459585234108955","0.459585234108955","0.459585234108955","0.22060064887514"
51,2015,232.5,241.5,9656,23,18,0,0,0,0,0,2014-12-31 23:02:35,2015-12-31 22:10:53,360,364.964,"resident",0,"f",1,"mature","11.005394913295","5.3985464514094","2.70234287204922","1.49518103747684","1.49518103747684","0.459585234108955","0.238984585233815"
51,2016,245,257,9665,26,18,0,0,0,0,0,2016-01-01 02:02:44,2016-12-31 21:38:49,363,365.817,"resident",0,"f",1,"mature","14.4676232615422","6.66700767990442","2.60430009975288","1.49518103747684","1.49518103747684","0.704696910147596","0.238984585233815"
51,2017,257.5,272.5,676,8,5,0,0,0,0,0,2016-12-31 23:11:15,2017-01-25 12:13:50,19,24.543,"resident",0,"f",1,"mature","6.57514734781539","1.11526178064083","0.238984585233815","0.238984585233815","0.238984585233815","0.238984585233815","0"
51,2018,270,288,2,1,1,0,0,0,0,0,2018-01-16 08:59:29,2018-01-16 08:59:35,1,0,"resident",0,"f",1,"mature","NA","NA","NA","NA","NA","NA","NA"
52,2012,181,181,342,5,5,0,0,0,0,0,2012-09-08 00:03:06,2012-12-29 02:08:12,18,112.087,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
52,2013,193.5,196.5,165,7,6,0,0,0,0,0,2013-01-04 07:52:10,2013-09-02 00:37:11,25,240.698,"resident",0,"m",0,"juvenile","2.46332081243171","0.526975646402389","0.526975646402389","0.29412658633808","0.29412658633808","0.29412658633808","0.29412658633808"
53,2012,182,182,41,3,2,0,0,0,0,0,2012-09-05 01:36:48,2012-11-18 21:15:38,4,74.819,"resident",0,"f",1,"juvenile","NA","NA","NA","NA","NA","NA","NA"
53,2013,194.5,197.5,293,10,10,0,0,0,0,0,2013-01-28 08:38:02,2013-12-31 03:21:15,49,336.78,"resident",0,"f",1,"juvenile","4.31992271437173","2.87990926608833","1.8689070001998","0.986543266766623","0.404421521513924","0.404421521513924","0.122553235562474"
53,2014,207,213,1697,18,17,0,0,0,0,0,2014-01-01 02:54:24,2014-12-31 04:07:41,221,364.051,"resident",0,"f",1,"juvenile","11.8385298576429","7.89230571142898","1.45222424269858","0.637263279512048","0","0","0"
53,2015,219.5,228.5,848,24,23,0,0,0,0,0,2015-01-01 00:02:51,2015-12-31 20:59:07,89,364.872,"resident",0,"f",1,"juvenile","12.9170146029296","9.20364826950969","7.57369004126032","1.04781061922005","0.575988237481028","0.392162229621708","0"
